구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,캔류,합성,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,수지류,스틱류,수지류,,,,,,,,폐기물,,,,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,
전국,합계,발생량,발생량,42355.2,18224.4,15291.7,424.5,5039.9,1218.2,820.7,2656.4,5132,2932.7,412.8,343,445.6,1731.3,0,12394.2,4130.2,1693.9,663.1,968.8,1067.3,0,112.5,46.2,11.4,4.9,148.5,1902.2,203.7,481.6,325.5,27,607.5,11736.6
전국,합계,처리방법,매립,6271.7,6150.9,3841.4,125.1,1115,246.7,179,652.2,1523.4,2309.5,304.7,240,372.4,1392.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.8
전국,합계,처리방법,소각,11530.6,11306.3,10765.9,260.3,3714.4,914.7,617,1876.1,3383.4,540.4,87,86.1,58.1,309.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.3
전국,합계,처리방법,재활용,24552.9,767.2,684.4,39.1,210.5,56.8,24.7,128.1,225.2,82.8,21.1,16.9,15.1,29.7,0,12394.2,4130.2,1693.9,663.1,968.8,1067.3,0,112.5,46.2,11.4,4.9,148.5,1902.2,203.7,481.6,325.5,27,607.5,11391.5
서울,종로구,발생량,발생량,290.9,120.5,120.3,0,0.5,3.4,0.7,0.5,115.2,0.2,0,0,0,0.2,0,93.4,29.5,18.7,8,12.2,14.8,0,3.6,0.7,0,0,0.9,0.3,0.6,0,0,3,1.1,77
서울,종로구,처리방법,매립,32.4,32.4,32.2,0,0,0,0.2,0.3,31.7,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,소각,88.1,88.1,88.1,0,0.5,3.4,0.5,0.2,83.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,재활용,170.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4,29.5,18.7,8,12.2,14.8,0,3.6,0.7,0,0,0.9,0.3,0.6,0,0,3,1.1,77
서울,중구,발생량,발생량,410.6,152,151,0,37.5,18.3,12.8,25.7,56.7,1,1,0,0,0,0,176.3,141.4,9.4,2,0.2,0.9,0,0,0,0,0,0.3,22.1,0,0,0,0,0,82.3
서울,중구,처리방법,매립,19.4,19.4,18.4,0,5.8,2.7,1.9,1.8,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,소각,132.6,132.6,132.6,0,31.7,15.6,10.9,23.9,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
