구분,,발생량및,,총계,종량제에 의한 혼합배출,,,,,,,,,,,,,,재활용가능자원 분리배출,,,,,,,,,,,,,,,,,,,음식물류 폐기물
,,처리현황,,,소계,가연성,,,,,,,불연성,,,,,기타,소계,종이류,유리병류,금속캔,비닐류,플라,발포,전자제품,전지류,타이어,윤활유,형광등,고철류,의류,영농,가구류,폐식용유,기타,재활용,분리배출
,,,,,,,,,,,,,,,,,,(배출,,,,,(합성수지류),스틱류,수지류,,,,,,,,폐기물,,,,잔재물,
시도,시군구,,,,,소계,음식물,종이류,나무류,고무,플라,기타,소계,유리류,금속류,토사류,기타,불명 등),,,,,,,,,,,,,,,,,,,,
,,,,,,,채소류,,,피혁류,스틱류,,,,,,,,,,,,,,,,,,,,,,,,,,,
전국,합계,발생량,발생량,46749.3,20361,16791.6,1530.7,4985.9,1196.3,989,3752.8,4336.9,2811.3,639.9,443.5,314.4,1413.5,758.1,13028.4,3889.1,1223.8,589.8,1295.7,1226.2,135.1,164.1,11.9,43.9,24.9,89.9,1228.1,181.7,445.6,626.8,44,261.3,1546.5,13359.9
전국,합계,처리방법,매립,6545.2,6405.7,4007.7,305.9,1125,223.9,191.6,879.1,1282.2,1993.5,404.1,268.4,268,1053,404.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.5
전국,합계,처리방법,소각,12429.3,12163.5,11166.4,1062.6,3421.1,862.2,734.8,2495.3,2590.4,678.8,200.2,147.8,38.2,292.6,318.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.8
전국,합계,처리방법,재활용,27774.8,1791.8,1617.5,162.2,439.8,110.2,62.6,378.4,464.3,139,35.6,27.3,8.2,67.9,35.3,13028.4,3889.1,1223.8,589.8,1295.7,1226.2,135.1,164.1,11.9,43.9,24.9,89.9,1228.1,181.7,445.6,626.8,44,261.3,1546.5,12954.6
서울,종로구,발생량,발생량,337.6,118.8,114.6,12.4,3.1,5.5,16.9,76.7,0,4.2,0.8,1.4,1,1,0,119.4,27.4,18.7,10.5,3.2,16,2.4,0.3,0.1,0,10,0.4,9.2,0,0,2.7,1.1,0,17.4,99.4
서울,종로구,처리방법,매립,39.7,39.7,38,0.1,0.1,0.5,1,36.3,0,1.7,0.3,0.3,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,소각,79.1,79.1,76.6,12.3,3,5,15.9,40.4,0,2.5,0.5,1.1,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,종로구,처리방법,재활용,218.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.4,27.4,18.7,10.5,3.2,16,2.4,0.3,0.1,0,10,0.4,9.2,0,0,2.7,1.1,0,17.4,99.4
서울,중구,발생량,발생량,368.2,160.1,160.1,0,31.5,22.4,17.3,24.3,64.6,0,0,0,0,0,0,111.9,60.7,11.7,3.5,4.7,1.2,0,0,0,0,0,0.5,19.7,0,0,0,0,0.1,9.8,96.2
서울,중구,처리방법,매립,41.2,41.2,41.2,0,11.5,5.1,5.3,4.3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,소각,118.9,118.9,118.9,0,20,17.3,12,20,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,중구,처리방법,재활용,208.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.9,60.7,11.7,3.5,4.7,1.2,0,0,0,0,0,0.5,19.7,0,0,0,0,0.1,9.8,96.2
서울,용산구,발생량,발생량,265.8,87.3,75.7,8.2,21.9,1.3,2.8,7.5,34,9.8,2.2,0.1,0.7,6.8,1.8,112.8,49.6,5.7,2.3,3.4,8.1,0.5,4,0,0,0,0.1,6,5.5,0,0,0.4,1.2,26,65.7
서울,용산구,처리방법,매립,20.2,20.2,19.5,6.5,3,1,1,1,7,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,용산구,처리방법,소각,67.1,67.1,56.2,1.7,18.9,0.3,1.8,6.5,27,9.1,2.2,0.1,0,6.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,용산구,처리방법,재활용,178.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.8,49.6,5.7,2.3,3.4,8.1,0.5,4,0,0,0,0.1,6,5.5,0,0,0.4,1.2,26,65.7
서울,성동구,발생량,발생량,246.8,90,87.1,0,30.9,7.7,8.7,22.2,17.6,2.9,0,0.3,0.2,2.4,0,77.6,32.8,6.9,6.3,1.2,6.4,0.4,0.2,0.5,0.1,0,0,0.2,0.2,0,0,0.5,0,21.9,79.2
서울,성동구,처리방법,매립,27.9,27.9,26.2,0,10.9,0.3,2.7,6.2,6.1,1.7,0,0.3,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성동구,처리방법,소각,62.1,62.1,60.9,0,20,7.4,6,16,11.5,1.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,성동구,처리방법,재활용,156.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6,32.8,6.9,6.3,1.2,6.4,0.4,0.2,0.5,0.1,0,0,0.2,0.2,0,0,0.5,0,21.9,79.2
서울,광진구,발생량,발생량,310.4,79.2,61.5,9,16.7,5,3.7,12.3,14.8,17.7,1.9,1.7,1.9,12.2,0,143.1,68.4,12.1,1.6,1.8,10.2,0,0.3,0,0,0,0.2,11.1,0.1,0,14,0.9,0,22.4,88.1
서울,광진구,처리방법,매립,21.7,21.7,9.6,1.6,2.2,1.1,0.8,1.6,2.3,12.1,0.8,0.7,0.8,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,광진구,처리방법,소각,57.5,57.5,51.9,7.4,14.5,3.9,2.9,10.7,12.5,5.6,1.1,1,1.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,광진구,처리방법,재활용,231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,68.4,12.1,1.6,1.8,10.2,0,0.3,0,0,0,0.2,11.1,0.1,0,14,0.9,0,22.4,88.1
서울,동대문구,발생량,발생량,390.3,106.4,102.1,0.2,45.9,8.1,8.6,25.3,14,4.3,0.7,0.5,0.3,2.8,0,189.4,85.9,32.4,30.7,12,7.5,2.4,1.4,0.1,0,0,0.1,1.8,0.8,0,0,0.3,0,14,94.5
서울,동대문구,처리방법,매립,21.3,21.3,17,0.2,3.4,4.2,4.3,2.3,2.6,4.3,0.7,0.5,0.3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
