시도,폐기물 종류,,,2020발생량,총계,,,,공공처리,,,,자가처리,,,,위탁처리,,,
,,,,,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타,재활용,소각,매립,기타
전국,합계,,,17303386.4,9762502.9,5058818.7,2424367.8,57697,4155660.3,4560506.4,2405918.7,42231.1,23127.3,124,0,880.1,5583715.3,498188.3,18449.1,14585.8
전국,혼합배출,소계,,8041965.2,900093.2,4769160.2,2319296.9,53414.9,652373.9,4360658.1,2310224.4,40293.1,0,0,0,0,247719.3,408502.1,9072.5,13121.8
전국,혼합배출,가연성,소계,6929046.9,823543.8,4442355.7,1615130.3,48017.1,612433.6,4072154.4,1611741.6,36694.5,0,0,0,0,211110.2,370201.3,3388.7,11322.6
전국,혼합배출,가연성,폐지류,1829611.5,141755,1230906.1,442544.7,14405.7,133312.5,1153174.3,441642.9,11215.9,0,0,0,0,8442.5,77731.8,901.8,3189.8
전국,혼합배출,가연성,폐합성수지류,1706740.2,237640.2,1075346.7,383556.8,10196.5,184094.9,932545.7,382699.4,7721.4,0,0,0,0,53545.3,142801,857.4,2475.1
전국,혼합배출,가연성,폐고무류,145010.4,36085.4,83844.8,24770.6,309.6,35761.3,78318.6,24621.2,207,0,0,0,0,324.1,5526.2,149.4,102.6
전국,혼합배출,가연성,폐섬유류,370664.1,21433,265154.8,80606.5,3469.8,16205.9,255224.7,80514.1,2614.4,0,0,0,0,5227.1,9930.1,92.4,855.4
전국,혼합배출,가연성,음식물류 폐기물,481839.1,34663.9,342600.9,100359.1,4215.2,28580.7,324991.4,100041.8,3599.2,0,0,0,0,6083.2,17609.5,317.3,616
전국,혼합배출,가연성,폐목재류,415212.3,147898.7,218083,44174.4,5056.2,19669.2,199960.1,43982.6,4027.7,0,0,0,0,128229.5,18122.9,191.8,1028.5
전국,혼합배출,가연성,기타,1979969.3,204067.6,1226419.4,539118.2,10364.1,194809.1,1127939.6,538239.6,7308.9,0,0,0,0,9258.5,98479.8,878.6,3055.2
전국,혼합배출,불연성,소계,852504.4,61078.3,280576.5,506829,4020.6,37657,261151.9,502737.8,3598.6,0,0,0,0,23421.3,19424.6,4091.2,422
전국,혼합배출,불연성,폐금속류,160829.8,10151.3,80210.6,69558.6,909.3,6947.5,76035.1,68952.1,900.5,0,0,0,0,3203.8,4175.5,606.5,8.8
전국,혼합배출,불연성,폐유리류,226757.3,10439.8,102712,112465.6,1139.9,8481.1,95933.5,111933.4,1132,0,0,0,0,1958.7,6778.5,532.2,7.9
전국,혼합배출,불연성,폐토사류,65799.6,9478,11919.2,44357.3,45.1,939.6,10172.3,44274.4,39.9,0,0,0,0,8538.4,1746.9,82.9,5.2
전국,혼합배출,불연성,폐타일 및 도자기류,50142.9,4689.6,5826.5,39567.3,59.5,546.7,5437.6,39076.2,27.6,0,0,0,0,4142.9,388.9,491.1,31.9
전국,혼합배출,불연성,연탄재,44568,8497,5352.2,30587.6,131.2,7628.1,4532,30375.2,131.2,0,0,0,0,868.9,820.2,212.4,0
전국,혼합배출,불연성,기타,304406.8,17822.6,74556,210292.6,1735.6,13114,69041.4,208126.5,1367.4,0,0,0,0,4708.6,5514.6,2166.1,368.2
전국,혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),182655.6,12006.6,17508.5,151763.3,1377.2,53,16698.4,150170.7,0,0,0,0,0,11953.6,810.1,1592.6,1377.2
전국,혼합배출,기타(배출불명등),,77758.3,3464.5,28719.5,45574.3,0,2230.3,10653.4,45574.3,0,0,0,0,0,1234.2,18066.1,0,0
전국,재활용 가능자원 분리배출,소계,,4591042.2,4306252.5,225587.5,56685.2,2517,1207405.1,135777.3,47345.1,1053,0,124,0,0,3098847.4,89686.2,9340.1,1464
전국,재활용 가능자원 분리배출,폐지류,종이팩,56003.2,56003.2,0,0,0,9083.9,0,0,0,0,0,0,0,46919.3,0,0,0
전국,재활용 가능자원 분리배출,폐지류,기타,1336800.9,1336800.9,0,0,0,154207.2,0,0,0,0,0,0,0,1182593.7,0,0,0
전국,재활용 가능자원 분리배출,고철류,,265888.3,265888.3,0,0,0,27372.6,0,0,0,0,0,0,0,238515.7,0,0,0
전국,재활용 가능자원 분리배출,금속캔,,133279.8,133279.8,0,0,0,27411,0,0,0,0,0,0,0,105868.8,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,비닐류,446161.1,446161.1,0,0,0,148243.5,0,0,0,0,0,0,0,297917.6,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,발포수지류,74814.9,74814.9,0,0,0,25161.3,0,0,0,0,0,0,0,49653.6,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,PET병,219142.9,219142.9,0,0,0,87215.1,0,0,0,0,0,0,0,131927.8,0,0,0
전국,재활용 가능자원 분리배출,폐합성수지류,기타,418641.9,418641.9,0,0,0,158986.4,0,0,0,0,0,0,0,259655.5,0,0,0
전국,재활용 가능자원 분리배출,폐고무류,,9404.2,9404.2,0,0,0,993.7,0,0,0,0,0,0,0,8410.5,0,0,0
전국,재활용 가능자원 분리배출,폐유리병류,,291541.4,291541.4,0,0,0,118537.9,0,0,0,0,0,0,0,173003.5,0,0,0
전국,재활용 가능자원 분리배출,폐의류,,82422.7,82422.7,0,0,0,2864.3,0,0,0,0,0,0,0,79558.4,0,0,0
전국,재활용 가능자원 분리배출,폐섬유류,,27083.2,27083.2,0,0,0,2196.8,0,0,0,0,0,0,0,24886.4,0,0,0
전국,재활용 가능자원 분리배출,조명폐기물,,7420.9,7420.9,0,0,0,2793.1,0,0,0,0,0,0,0,4627.8,0,0,0
전국,재활용 가능자원 분리배출,폐전지류,,42327.2,42327.2,0,0,0,2010,0,0,0,0,0,0,0,40317.2,0,0,0
전국,재활용 가능자원 분리배출,영농폐기물,농약용기류,3070.9,3070.9,0,0,0,2412.1,0,0,0,0,0,0,0,658.8,0,0,0
전국,재활용 가능자원 분리배출,영농폐기물,폐비닐,166927.2,166927.2,0,0,0,134369.9,0,0,0,0,0,0,0,32557.3,0,0,0
전국,재활용 가능자원 분리배출,폐식용유,,2955.1,2955.1,0,0,0,373.7,0,0,0,0,0,0,0,2581.4,0,0,0
전국,재활용 가능자원 분리배출,폐전기전자제품,,74814.2,74814.2,0,0,0,36653.6,0,0,0,0,0,0,0,38160.6,0,0,0
전국,재활용 가능자원 분리배출,폐가구류,,153300.4,153300.4,0,0,0,94020.8,0,0,0,0,0,0,0,59279.6,0,0,0
전국,재활용 가능자원 분리배출,기타,,134134,134134,0,0,0,36226.5,0,0,0,0,0,0,0,97907.5,0,0,0
전국,재활용 가능자원 분리배출,재활용 잔재물,,644907.8,360118.1,225587.5,56685.2,2517,136271.7,135777.3,47345.1,1053,0,124,0,0,223846.4,89686.2,9340.1,1464
전국,음식물류 폐기물 분리배출,,,4670379,4556157.2,64071,48385.7,1765.1,2295881.3,64071,48349.2,885,23127.3,0,0,880.1,2237148.6,0,36.5,0
서울,합계,,,3177620,2033960.6,797766.1,345553.3,340,379742.3,730391.5,344031.3,0,5584,0,0,0,1648634.3,67374.6,1522,340
서울,혼합배출,소계,,1180049.4,41323.1,792833,345553.3,340,0,727724.5,344031.3,0,0,0,0,0,41323.1,65108.5,1522,340
서울,혼합배출,가연성,소계,1083297.3,38586.7,752840.6,291530,340,0,694436.1,291530,0,0,0,0,0,38586.7,58404.5,0,340
서울,혼합배출,가연성,폐지류,317827.8,0,213585.4,104242.4,0,0,211883.7,104242.4,0,0,0,0,0,0,1701.7,0,0
서울,혼합배출,가연성,폐합성수지류,251587.1,8619.3,184045.2,58922.6,0,0,135229.7,58922.6,0,0,0,0,0,8619.3,48815.5,0,0
서울,혼합배출,가연성,폐고무류,14989,0,10304.6,4684.4,0,0,10273.5,4684.4,0,0,0,0,0,0,31.1,0,0
서울,혼합배출,가연성,폐섬유류,28651.3,467,20961.7,6882.6,340,0,20869.4,6882.6,0,0,0,0,0,467,92.3,0,340
서울,혼합배출,가연성,음식물류 폐기물,40255.9,0,28320.4,11935.5,0,0,28189.5,11935.5,0,0,0,0,0,0,130.9,0,0
서울,혼합배출,가연성,폐목재류,60996.1,29250.4,25676.2,6069.5,0,0,20792.2,6069.5,0,0,0,0,0,29250.4,4884,0,0
서울,혼합배출,가연성,기타,368990.1,250,269947.1,98793,0,0,267198.1,98793,0,0,0,0,0,250,2749,0,0
서울,혼합배출,불연성,소계,83342,0,32705.5,50636.5,0,0,32362.2,50636.5,0,0,0,0,0,0,343.3,0,0
서울,혼합배출,불연성,폐금속류,11095.4,0,5337.7,5757.7,0,0,5284.6,5757.7,0,0,0,0,0,0,53.1,0,0
서울,혼합배출,불연성,폐유리류,19656.6,0,9309.8,10346.8,0,0,9204.5,10346.8,0,0,0,0,0,0,105.3,0,0
서울,혼합배출,불연성,폐토사류,4688.1,0,2214,2474.1,0,0,2194.2,2474.1,0,0,0,0,0,0,19.8,0,0
서울,혼합배출,불연성,폐타일 및 도자기류,4364.6,0,2240.7,2123.9,0,0,2216.6,2123.9,0,0,0,0,0,0,24.1,0,0
서울,혼합배출,불연성,연탄재,1600.5,0,8.2,1592.3,0,0,8.2,1592.3,0,0,0,0,0,0,0,0,0
서울,혼합배출,불연성,기타,41936.8,0,13595.1,28341.7,0,0,13454.1,28341.7,0,0,0,0,0,0,141,0,0
서울,혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),4258.4,2736.4,0,1522,0,0,0,0,0,0,0,0,0,2736.4,0,1522,0
서울,혼합배출,기타(배출불명등),,9151.7,0,7286.9,1864.8,0,0,926.2,1864.8,0,0,0,0,0,0,6360.7,0,0
서울,재활용 가능자원 분리배출,소계,,1135338.5,1130405.4,4933.1,0,0,195447,2667,0,0,0,0,0,0,934958.4,2266.1,0,0
서울,재활용 가능자원 분리배출,폐지류,종이팩,19747.4,19747.4,0,0,0,3475.9,0,0,0,0,0,0,0,16271.5,0,0,0
서울,재활용 가능자원 분리배출,폐지류,기타,370052.3,370052.3,0,0,0,49340.3,0,0,0,0,0,0,0,320712,0,0,0
서울,재활용 가능자원 분리배출,고철류,,21867.7,21867.7,0,0,0,4066,0,0,0,0,0,0,0,17801.7,0,0,0
서울,재활용 가능자원 분리배출,금속캔,,27334,27334,0,0,0,4235.9,0,0,0,0,0,0,0,23098.1,0,0,0
서울,재활용 가능자원 분리배출,폐합성수지류,비닐류,151453.5,151453.5,0,0,0,30229.2,0,0,0,0,0,0,0,121224.3,0,0,0
서울,재활용 가능자원 분리배출,폐합성수지류,발포수지류,15523.8,15523.8,0,0,0,5083.7,0,0,0,0,0,0,0,10440.1,0,0,0
서울,재활용 가능자원 분리배출,폐합성수지류,PET병,47306.7,47306.7,0,0,0,9983.2,0,0,0,0,0,0,0,37323.5,0,0,0
서울,재활용 가능자원 분리배출,폐합성수지류,기타,127978.7,127978.7,0,0,0,17534.5,0,0,0,0,0,0,0,110444.2,0,0,0
서울,재활용 가능자원 분리배출,폐고무류,,18.5,18.5,0,0,0,13.6,0,0,0,0,0,0,0,4.9,0,0,0
서울,재활용 가능자원 분리배출,폐유리병류,,81383.2,81383.2,0,0,0,16167.6,0,0,0,0,0,0,0,65215.6,0,0,0
서울,재활용 가능자원 분리배출,폐의류,,35626.8,35626.8,0,0,0,205.3,0,0,0,0,0,0,0,35421.5,0,0,0
서울,재활용 가능자원 분리배출,폐섬유류,,11270.1,11270.1,0,0,0,1300,0,0,0,0,0,0,0,9970.1,0,0,0
서울,재활용 가능자원 분리배출,조명폐기물,,1548.7,1548.7,0,0,0,190.5,0,0,0,0,0,0,0,1358.2,0,0,0
서울,재활용 가능자원 분리배출,폐전지류,,590.6,590.6,0,0,0,137.5,0,0,0,0,0,0,0,453.1,0,0,0
서울,재활용 가능자원 분리배출,영농폐기물,농약용기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,재활용 가능자원 분리배출,영농폐기물,폐비닐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,재활용 가능자원 분리배출,폐식용유,,1913.9,1913.9,0,0,0,207.4,0,0,0,0,0,0,0,1706.5,0,0,0
서울,재활용 가능자원 분리배출,폐전기전자제품,,6957.7,6957.7,0,0,0,303,0,0,0,0,0,0,0,6654.7,0,0,0
서울,재활용 가능자원 분리배출,폐가구류,,33566.7,33566.7,0,0,0,418,0,0,0,0,0,0,0,33148.7,0,0,0
서울,재활용 가능자원 분리배출,기타,,14109.5,14109.5,0,0,0,4963.6,0,0,0,0,0,0,0,9145.9,0,0,0
서울,재활용 가능자원 분리배출,재활용 잔재물,,167088.7,162155.6,4933.1,0,0,47591.8,2667,0,0,0,0,0,0,114563.8,2266.1,0,0
서울,음식물류 폐기물 분리배출,,,862232.1,862232.1,0,0,0,184295.3,0,0,0,5584,0,0,0,672352.8,0,0,0
부산,합계,,,1148394.2,947735.6,162047.7,38610.9,0,353471.2,125135.3,38610.9,0,412.6,0,0,0,593851.8,36912.4,0,0
부산,혼합배출,소계,,335144.3,175541.3,120992.1,38610.9,0,175541.3,120992.1,38610.9,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,소계,303896.8,174399.1,104053.2,25444.5,0,174399.1,104053.2,25444.5,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,폐지류,96493.1,41252.1,50453.6,4787.4,0,41252.1,50453.6,4787.4,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,폐합성수지류,134077.9,92334.6,24561.3,17182,0,92334.6,24561.3,17182,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,폐고무류,31030.3,30368.7,121.1,540.5,0,30368.7,121.1,540.5,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,폐섬유류,13117.6,519.2,11131.2,1467.2,0,519.2,11131.2,1467.2,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,음식물류 폐기물,19872.6,3996.8,14640.1,1235.7,0,3996.8,14640.1,1235.7,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,폐목재류,5986.6,2609,3145.9,231.7,0,2609,3145.9,231.7,0,0,0,0,0,0,0,0,0
부산,혼합배출,가연성,기타,3318.7,3318.7,0,0,0,3318.7,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,소계,31247.5,1142.2,16938.9,13166.4,0,1142.2,16938.9,13166.4,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐금속류,10421.9,680.5,9316.5,424.9,0,680.5,9316.5,424.9,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐유리류,8238.5,461.7,7622.4,154.4,0,461.7,7622.4,154.4,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐토사류,309,0,0,309,0,0,0,309,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,폐타일 및 도자기류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,연탄재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,혼합배출,불연성,기타,12278.1,0,0,12278.1,0,0,0,12278.1,0,0,0,0,0,0,0,0,0
부산,혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
